,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Marital Status, Marriages and Divorces",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Marital Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Residents Aged 20 Years & Over By Sex, Age Group And Marital Status, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 30/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number
  Married,244100,239700,248700,249400,213500,237300,251300,254500,247900,252700,256500,253900,249100,247900,243800,235000,225800,222700,222800,219000,196300,194900,182300,170300,153100,145700,142200,135000,128400,114700,113500,114600,114100,113400,109600,95700,100900,93200,92200,92700,86000,85900,84900,74200
  Widowed,2100,4300,3200,3000,2800,2800,2900,3000,2500,3400,3400,3600,3000,3000,3100,3100,3600,2600,3300,3300,2700,3200,2200,2800,2800,2600,2900,2600,3100,3300,2600,3300,3200,3300,2900,3500,2500,2800,3100,2400,3300,2400,3500,2800
  Divorced/Separated,15200,16600,16800,17500,15600,16400,15800,14500,11900,14000,13400,10500,11100,10900,9300,10900,9100,9100,8900,8000,7700,5500,6100,5500,5000,4900,3100,2700,3000,3000,2600,2500,2300,2300,2500,1700,1600,1400,1400,1400,2000,1100,900,1100
Females Aged 50-59 Years,327600,313100,328000,309500,282100,307500,322300,308800,296400,314500,308000,312600,303900,294200,290600,277400,265700,258100,255500,245300,230200,218600,206100,190900,171200,165600,159700,152900,144600,129100,127700,133500,129800,127300,121200,108500,115200,106600,103000,100400,97500,90900,88300,77300
  Single,40900,37700,41000,42300,36500,40700,39300,40300,39900,39000,38300,41300,38100,33700,35200,34500,32700,29700,31100,27800,26300,24400,24500,21400,16300,15100,13700,11700,9800,9800,7200,6500,5700,6000,5600,5400,4100,3300,3300,3200,2500,2600,2200,2200
  Married,247200,238900,246800,225900,211000,227100,243400,230700,219300,234900,232000,235200,230000,227300,220300,208200,200700,195300,191800,185100,174500,166000,156000,144000,129700,126800,121600,118300,112700,95800,99900,100500,98200,96900,92300,82000,87500,80700,77200,72500,73100,69400,65700,54900
  Widowed,8500,9400,11000,11700,9000,12300,13000,11800,12800,16100,14200,13400,15300,12800,14900,15500,15500,15100,16900,16900,16000,16900,15700,16100,16100,15200,17600,17500,16900,18000,15800,22400,21000,20500,19200,18400,20500,20000,20100,21800,19400,17300,19400,18400
  Divorced/Separated,31000,27000,29100,29500,25600,27300,26700,26100,24400,24500,23500,22600,20500,20400,20300,19200,16900,18000,15700,15500,13400,11300,9900,9400,9100,8600,6800,5300,5300,5500,4800,4100,5000,3800,4100,2700,3100,2600,2300,2900,2500,1500,1000,1700
Total Aged 60-69 Years,588600,579700,552500,545900,549100,515400,491100,481400,473800,464900,433900,426100,381900,357100,333800,310000,302000,277400,262000,250000,223500,234400,236600,220800,208400,198300,198800,185300,179700,174400,176000,167600,162800,156400,149200,142500,138200,128600,124100,121200,117600,112700,112700,106900
  Single,63100,63300,55200,62800,61400,54900,54500,50700,47100,46500,39500,38900,32700,30200,24100,23400,20400,19000,17500,16400,12900,13300,13200,11000,10100,9800,9500,7900,7700,8100,6900,6500,6100,6200,5100,6400,4300,3600,3200,3800,3800,3600,3800,4900
